Year;Daily;Total;;;
2003;32796;11970540;;;
2004;28928;10558720;;;
2005;38754;14145210;;;
2006;45334;16546910;;;
2007;43434;15853410;;;
2008;55770;20356050;;;
2009;54194;19780810;;;
2010;51236;18701140;;;
2011;57042;20820330;;;
2012;63608;23216920;;;
2013;62648;22866520;;;
2014;52068;19004820;;;
2015;58366;21303590;;;
2016;75894;27701310;;;
2017;56684;20689660;;;
2018;85962;31376130;;;
2019;76800;28032000;;;
2020;77020;28112300;;;
2021;56670;20684550;;;
2022;75540;27572100;;;
2023;78660;28710900;;;
