Year;Daily;Total;;;
2003;1557000;568305000;;;
2004;1552000;566480000;;;
2005;1564000;570860000;;;
2006;1643000;599695000;;;
2007;1665000;607725000;;;
2008;1702000;621230000;;;
2009;1715000;625975000;;;
2010;1754000;640210000;;;
2011;1788000;652620000;;;
2012;1848000;674520000;;;
2013;1903000;694595000;;;
2014;1913000;698245000;;;
2015;1940000;708100000;;;
2016;1993000;727445000;;;
2017;2001000;730365000;;;
2018;2035000;742775000;;;
2019;2059000;751535000;;;
2020;1342000;489830000;;;
2021;1212000;442380000;;;
2022;1521000;555165000;;;
2023;1668000;608820000;;;
2024;1683000;614295000;;;
