Time (s),Force (N),Distance (mm)
0.01,0.95,0.0
0.02,0.96,0.1
0.03,1.07,0.1
0.04,1.11,0.2
0.05,1.09,0.2
0.06,1.09,0.2
0.07,1.09,0.2
0.08,1.08,0.2
0.09,1.08,0.2
0.1,1.08,0.2
0.11,1.08,0.2
0.12,1.08,0.2
0.13,1.08,0.2
0.14,1.08,0.2
0.15,1.08,0.2
0.16,1.08,0.2
0.17,1.08,0.2
0.18,1.07,0.3
0.19,1.08,0.3
0.2,1.09,0.3
0.21,1.09,0.3
0.22,1.11,0.3
0.23,1.1,0.3
0.24,1.12,0.3
0.25,1.11,0.3
0.26,1.13,0.3
0.27,1.11,0.3
0.28,1.13,0.3
0.29,1.13,0.4
0.3,1.13,0.4
0.31,1.14,0.4
0.32,1.13,0.4
0.33,1.15,0.4
0.34,1.12,0.4
0.35,1.16,0.4
0.36,1.13,0.5
0.37,1.16,0.5
0.38,1.14,0.5
0.39,1.15,0.5
0.4,1.15,0.7
0.41,1.14,0.7
0.42,1.16,0.7
0.43,1.13,0.7
0.44,1.14,0.7
0.45,1.14,0.8
0.46,1.13,0.8
0.47,1.14,0.8
0.48,1.12,0.8
0.49,1.16,0.8
0.5,1.11,0.9
0.51,1.17,0.9
0.52,1.14,0.9
0.53,1.17,1.0
0.54,1.15,1.0
0.55,1.15,1.0
0.56,1.17,1.0
0.57,1.14,1.0
0.58,1.17,1.0
0.59,1.14,1.0
0.6,1.17,1.0
0.61,1.14,1.1
0.62,1.16,1.1
0.63,1.15,1.1
0.64,1.16,1.1
0.65,1.16,1.1
0.66,1.15,1.1
0.67,1.16,1.1
0.68,1.14,1.1
0.69,1.15,1.1
0.7,1.14,1.1
0.71,1.15,1.1
0.72,1.15,1.1
0.73,1.14,1.2
0.74,1.15,1.2
0.75,1.13,1.2
0.76,1.15,1.2
0.77,1.12,1.2
0.78,1.15,1.2
0.79,1.12,1.2
0.8,1.13,1.4
0.81,1.13,1.4
0.82,1.11,1.4
0.83,1.14,1.4
0.84,1.12,1.5
0.85,1.14,1.5
0.86,1.13,1.5
0.87,1.13,1.6
0.88,1.15,1.6
0.89,1.13,1.6
0.9,1.15,1.7
0.91,1.16,1.8
0.92,1.15,1.8
0.93,1.18,2.0
0.94,1.17,2.0
0.95,1.2,2.1
0.96,1.2,2.2
0.97,1.22,2.3
0.98,1.23,2.3
0.99,1.21,2.4
1.0,1.25,2.5
1.01,1.23,2.7
1.02,1.27,2.8
1.03,1.25,2.9
1.04,1.28,3.0
1.05,1.28,3.1
1.06,1.27,3.2
1.07,1.3,3.4
1.08,1.27,3.5
1.09,1.31,3.6
1.1,1.32,3.8
1.11,1.32,4.1
1.12,1.31,4.3
1.13,1.36,4.5
1.14,1.43,4.9
1.15,1.39,5.2
1.16,1.44,5.5
1.17,1.42,5.7
1.18,1.45,6.0
1.19,1.43,6.1
1.2,1.44,6.2
1.21,1.43,6.3
1.22,1.41,6.4
1.23,1.43,6.5
1.24,1.36,6.7
1.25,1.43,6.8
1.26,1.34,6.9
1.27,1.38,6.9
1.28,1.31,6.9
1.29,1.35,7.0
1.3,1.3,7.1
1.31,1.29,7.1
1.32,1.31,7.1
1.33,1.27,7.2
1.34,1.31,7.2
1.35,1.27,7.4
1.36,1.32,7.4
1.37,1.29,7.5
1.38,1.32,7.6
1.39,1.34,7.6
1.4,1.32,7.7
1.41,1.39,7.8
1.42,1.33,8.0
1.43,1.37,8.1
1.44,1.34,8.1
1.45,1.35,8.1
1.46,1.34,8.2
1.47,1.32,8.2
1.48,1.36,8.3
1.49,1.31,8.4
1.5,1.38,8.5
1.51,1.32,8.8
1.52,1.45,8.9
1.53,1.3,9.0
1.54,1.42,9.1
1.55,1.32,9.1
1.56,1.36,9.3
1.57,1.32,9.3
1.58,1.3,9.4
1.59,1.32,9.4
1.6,1.26,9.5
1.61,1.31,9.5
1.62,1.24,9.6
1.63,1.28,9.6
1.64,1.24,9.7
1.65,1.23,9.8
1.66,1.24,9.8
1.67,1.2,10.0
1.68,1.24,10.0
1.69,1.16,10.1
1.7,1.21,10.2
1.71,1.15,10.3
1.72,1.18,10.3
1.73,1.15,10.4
1.74,1.15,10.5
1.75,1.16,10.7
1.76,1.12,10.8
1.77,1.16,10.9
1.78,1.11,11.3
1.79,1.21,11.6
1.8,1.16,11.8
1.81,1.2,12.2
1.82,1.23,12.7
1.83,1.23,13.0
1.84,1.32,13.6
1.85,1.38,14.5
1.86,1.63,15.8
1.87,1.69,17.4
1.88,2.04,19.5
1.89,2.34,21.8
1.9,2.67,24.6
1.91,3.07,27.4
1.92,3.37,30.1
1.93,3.78,32.7
1.94,4.02,35.2
1.95,4.27,37.3
1.96,4.34,39.0
1.97,4.38,40.5
1.98,4.29,41.4
1.99,4.08,42.2
2.0,3.98,43.0
2.01,3.68,44.0
2.02,3.58,45.2
2.03,3.37,46.6
2.04,3.36,48.5
2.05,3.37,50.8
2.06,3.35,53.4
2.07,3.48,56.1
2.08,3.5,58.9
2.09,3.63,61.8
2.1,3.58,64.5
2.11,3.73,67.3
2.12,3.62,69.9
2.13,3.47,72.1
2.14,3.36,74.1
2.15,3.25,76.6
2.16,3.23,79.4
2.17,3.07,82.6
2.18,3.25,86.0
2.19,3.17,89.4
2.2,3.37,93.0
2.21,3.3,96.4
2.22,3.4,99.7
2.23,3.33,102.6
2.24,3.35,105.7
2.25,3.41,109.2
2.26,3.44,113.2
2.27,3.58,117.2
2.28,3.65,121.1
2.29,3.81,125.1
2.3,3.82,129.0
2.31,3.7,132.5
2.32,3.68,135.9
2.33,3.67,139.9
2.34,3.63,144.2
2.35,3.47,148.4
2.36,3.53,152.6
2.37,3.43,156.8
2.38,3.2,160.8
2.39,3.04,164.5
2.4,2.92,168.8
2.41,2.91,173.6
2.42,2.66,178.7
2.43,2.74,183.6
2.44,2.69,188.7
2.45,2.57,193.6
2.46,2.52,198.8
