Year;Daily;Total;;;
2003;564000;205860000;;;
2004;562000;205130000;;;
2005;529000;193085000;;;
2006;498000;181770000;;;
2007;468000;170820000;;;
2008;465000;169725000;;;
2009;467000;170455000;;;
2010;460000;167900000;;;
2011;442000;161330000;;;
2012;439000;160235000;;;
2013;437000;159505000;;;
2014;442000;161330000;;;
2015;436000;159140000;;;
2016;427000;155855000;;;
2017;422000;154030000;;;
2018;412000;150380000;;;
2019;408000;148920000;;;
2020;387000;141255000;;;
2021;394000;143810000;;;
2022;373000;136145000;;;
2023;377000;137605000;;;
2024;385000;140525000;;;
